2 2.125, 2.14, 2.12, 2.126, 2.124, 2.127, 2.124, 2.13, 2.125, 2.128, 2.126, 2.126, 2.126, 2.124, 2.126, 2.128, 2.122, 2.129, 2.134, 2.122, 2.123, 2.124, 2.123, 2.123, 2.123, 2.12, 2.134, 2.121, 2.123, 2.122, 2.127, 2.12, 2.123, 2.121, 2.122, 2.123, 2.131, 2.121, 2.124, 2.121, 2.123, 2.126, 2.123, 2.121, 2.121, 2.122, 2.121, 2.121, 2.122, 2.126, 2.129, 2.121, 2.122, 2.132, 2.125, 2.122, 2.125, 2.119, 2.128, 2.124, 2.122, 2.121, 2.126, 2.123, 2.126, 2.12, 2.121, 2.122, 2.137, 2.122, 2.124, 2.131, 2.125, 2.122, 2.124, 2.125, 2.183, 2.123, 2.12, 2.123, 2.123, 2.142, 2.121, 2.121, 2.125, 2.122, 2.123, 2.123, 2.124, 2.123, 2.123, 2.124, 2.121, 2.121, 2.121, 2.127, 2.121, 2.125, 2.131, 2.125, 
22 12.236, 12.231, 12.262, 12.231, 12.43, 12.245, 12.233, 12.205, 12.26, 12.2, 12.208, 12.252, 12.229, 12.215, 12.184, 12.242, 12.242, 12.246, 12.253, 12.192, 12.268, 12.231, 12.218, 12.252, 12.253, 12.253, 12.237, 12.252, 12.259, 12.221, 12.177, 12.215, 12.254, 12.248, 12.246, 12.261, 12.236, 12.216, 12.201, 12.221, 12.213, 12.196, 12.241, 12.259, 12.267, 12.264, 12.267, 12.237, 12.24, 12.231, 12.211, 12.201, 12.221, 12.152, 12.272, 12.25, 12.226, 12.237, 12.237, 12.239, 12.245, 12.275, 12.227, 12.204, 12.226, 12.251, 12.229, 12.223, 12.187, 12.234, 12.253, 12.213, 12.271, 12.26, 12.271, 12.247, 12.253, 12.241, 12.204, 12.267, 12.223, 12.23, 12.219, 12.224, 12.247, 12.231, 12.253, 12.243, 12.261, 12.286, 12.3, 12.189, 12.247, 12.198, 12.267, 12.214, 12.271, 12.197, 12.246, 12.248, 
42 23.155, 23.153, 23.158, 23.191, 23.197, 23.196, 23.166, 23.152, 23.206, 23.208, 23.384, 23.164, 23.152, 23.158, 23.199, 23.323, 23.198, 23.184, 23.169, 23.18, 23.218, 23.224, 23.159, 23.154, 23.179, 23.193, 23.179, 23.185, 23.157, 23.19, 23.189, 23.176, 23.226, 23.191, 23.182, 23.198, 23.191, 23.158, 23.191, 23.188, 23.195, 23.151, 23.238, 23.172, 23.191, 23.177, 23.191, 23.185, 23.181, 23.167, 23.171, 23.178, 23.19, 23.188, 23.164, 23.202, 23.147, 23.191, 23.196, 23.137, 23.185, 23.205, 23.198, 23.204, 23.203, 23.163, 23.197, 23.18, 23.179, 23.196, 23.195, 23.211, 23.144, 23.162, 23.205, 23.169, 23.185, 23.244, 23.165, 23.198, 23.201, 23.187, 23.213, 23.164, 23.442, 23.21, 23.169, 23.186, 23.193, 23.169, 23.199, 23.196, 23.159, 23.172, 23.222, 23.152, 23.163, 23.103, 23.225, 23.168, 
62 33.77, 33.797, 33.694, 33.797, 33.722, 33.701, 33.694, 33.76, 33.697, 33.732, 33.803, 33.713, 33.719, 33.686, 33.775, 33.712, 33.692, 33.822, 33.718, 33.691, 33.659, 33.807, 33.777, 33.756, 33.82, 33.713, 33.75, 33.734, 33.761, 33.686, 33.779, 33.747, 33.737, 33.729, 33.714, 33.682, 33.714, 33.656, 33.748, 33.734, 33.694, 33.7, 33.715, 33.795, 33.728, 33.711, 33.712, 33.783, 34.348, 33.772, 33.716, 33.733, 33.704, 33.735, 33.72, 33.759, 33.735, 33.728, 33.787, 33.726, 33.82, 33.842, 33.717, 33.803, 33.742, 33.695, 33.691, 33.807, 33.766, 33.682, 33.683, 33.824, 33.742, 33.734, 33.749, 33.736, 33.738, 33.702, 33.804, 33.68, 33.745, 33.796, 33.802, 33.752, 33.682, 33.735, 33.807, 33.615, 33.727, 33.777, 33.848, 33.725, 33.803, 33.789, 33.688, 33.668, 33.704, 33.773, 33.744, 33.737, 
82 44.887, 44.889, 44.818, 44.842, 44.852, 44.86, 44.785, 44.796, 44.797, 44.939, 44.787, 44.827, 44.767, 44.768, 44.867, 44.841, 44.908, 44.847, 44.856, 44.791, 44.873, 44.85, 44.84, 44.845, 44.788, 44.733, 44.92, 44.951, 44.822, 44.834, 44.835, 44.851, 44.838, 44.745, 44.788, 44.912, 44.882, 44.68, 45.017, 44.77, 44.782, 44.924, 44.708, 44.842, 44.841, 45.03, 45.006, 44.763, 44.877, 44.82, 44.836, 44.78, 44.675, 44.876, 44.784, 44.846, 44.878, 44.895, 44.844, 44.84, 44.762, 44.847, 45.054, 44.827, 44.865, 44.764, 44.738, 44.908, 44.739, 44.78, 44.873, 44.852, 44.789, 44.782, 44.882, 44.748, 44.717, 44.802, 44.76, 44.784, 44.955, 44.849, 44.89, 44.938, 44.677, 44.837, 44.787, 45.437, 44.819, 44.841, 44.739, 44.828, 44.767, 44.814, 44.911, 44.803, 44.806, 44.856, 44.743, 44.805, 
102 53.788, 53.83, 53.88, 53.737, 53.69, 53.992, 53.744, 53.713, 53.982, 53.698, 53.636, 53.991, 53.948, 53.886, 53.708, 53.711, 53.688, 53.678, 53.486, 53.737, 53.629, 53.658, 53.506, 53.791, 53.776, 53.67, 53.896, 53.679, 53.587, 53.76, 53.53, 53.62, 53.682, 53.629, 53.661, 53.607, 53.707, 53.667, 53.533, 53.603, 53.756, 53.783, 53.68, 53.502, 53.69, 53.761, 53.568, 53.79, 53.628, 53.717, 53.7, 53.45, 53.892, 53.866, 53.654, 53.951, 53.702, 53.579, 53.72, 53.686, 53.619, 53.616, 53.642, 53.671, 53.653, 53.66, 53.739, 53.689, 53.66, 53.642, 53.694, 53.679, 53.516, 53.603, 53.427, 53.904, 53.828, 53.691, 53.631, 53.515, 53.662, 53.658, 53.701, 53.617, 53.693, 53.672, 53.646, 53.549, 53.529, 53.595, 53.594, 53.653, 53.896, 53.831, 53.684, 53.928, 53.61, 53.52, 53.661, 53.665, 
122 64.064, 63.993, 64.019, 63.888, 63.801, 63.768, 63.81, 63.891, 63.983, 64.133, 63.922, 63.832, 63.912, 63.9, 63.915, 63.891, 64.005, 63.909, 64.051, 63.861, 63.843, 63.814, 63.868, 63.73, 63.951, 63.86, 63.825, 63.823, 63.857, 63.883, 63.826, 63.819, 63.959, 63.764, 63.897, 64.193, 63.862, 63.852, 63.81, 63.803, 63.831, 63.842, 63.782, 63.848, 63.945, 63.917, 63.82, 63.83, 63.897, 63.846, 63.901, 63.802, 63.845, 63.9, 63.841, 63.858, 63.878, 63.842, 63.813, 63.855, 63.893, 63.798, 63.91, 63.799, 63.98, 63.79, 63.843, 63.879, 63.903, 63.896, 63.806, 63.979, 63.836, 64.288, 63.839, 63.922, 63.736, 64.031, 63.859, 63.782, 63.714, 63.751, 63.863, 63.736, 63.709, 63.838, 63.786, 63.847, 63.804, 63.828, 63.908, 63.935, 63.862, 64.086, 63.882, 63.855, 63.889, 63.947, 63.831, 63.832, 
142 76.343, 76.328, 76.265, 76.116, 76.114, 76.209, 77.052, 76.189, 76.359, 76.195, 76.2, 76.268, 76.27, 76.044, 78.051, 76.22, 76.209, 76.248, 76.086, 76.211, 75.783, 76.208, 76.26, 76.399, 76.348, 76.37, 76.096, 76.163, 76.127, 76.258, 76.19, 76.305, 76.354, 76.111, 76.246, 76.216, 76.176, 76.157, 76.242, 76.188, 76.64, 76.312, 76.192, 76.167, 76.153, 76.282, 76.164, 76.115, 76.573, 76.317, 76.234, 76.311, 76.263, 76.347, 76.191, 76.179, 76.203, 76.188, 76.106, 76.406, 76.243, 76.179, 76.457, 76.067, 76.186, 76.235, 76.248, 76.205, 76.194, 76.492, 76.144, 76.295, 76.259, 76.271, 76.155, 76.44, 76.229, 76.193, 76.185, 76.077, 76.23, 76.403, 76.068, 76.245, 76.163, 76.186, 76.107, 76.159, 76.513, 76.24, 76.177, 76.352, 76.172, 76.305, 76.228, 76.487, 76.201, 75.721, 76.332, 76.078, 
162 86.241, 86.512, 86.111, 86.22, 86.19, 86.189, 86.125, 86.724, 86.454, 86.154, 86.117, 86.083, 86.135, 86.077, 86.098, 86.2, 86.229, 86.033, 86.154, 86.175, 85.996, 86.131, 86.101, 86.477, 86.234, 86.365, 86.113, 86.13, 86.343, 86.187, 86.108, 86.07, 86.173, 86.102, 86.333, 86.286, 86.13, 86.246, 86.219, 86.208, 86.188, 86.156, 86.205, 86.13, 86.113, 86.169, 86.115, 86.197, 86.159, 86.22, 86.241, 86.141, 86.175, 86.273, 86.136, 86.23, 86.175, 86.171, 86.835, 86.243, 86.196, 86.403, 86.164, 86.211, 86.141, 86.405, 86.246, 86.143, 86.231, 86.308, 86.145, 86.135, 86.154, 86.276, 86.198, 86.22, 86.266, 86.083, 86.161, 86.066, 86.19, 86.03, 86.172, 86.252, 86.191, 86.667, 86.238, 86.127, 86.126, 86.248, 86.4, 86.153, 86.241, 86.225, 86.186, 86.243, 86.143, 86.296, 86.156, 86.168, 
182 96.589, 96.174, 96.259, 96.051, 96.141, 96.304, 96.473, 96.041, 96.056, 96.078, 96.517, 96.211, 96.066, 96.487, 97.25, 96.182, 96.116, 96.039, 96.155, 96.208, 96.194, 96.182, 96.038, 96.139, 96.186, 96.177, 96.182, 96.076, 96.205, 96.087, 96.172, 96.144, 96.19, 96.51, 96.177, 96.184, 96.42, 96.135, 96.214, 96.092, 96.266, 96.107, 96.209, 96.111, 96.175, 96.64, 96.132, 96.18, 96.175, 96.469, 96.337, 96.199, 96.159, 96.147, 96.183, 96.321, 95.803, 95.588, 96.175, 96.872, 96.049, 96.234, 96.258, 96.161, 96.08, 96.112, 96.146, 96.14, 96.121, 96.101, 96.02, 96.084, 96.248, 96.029, 96.152, 96.44, 96.226, 96.143, 96.135, 96.161, 96.64, 96.04, 96.273, 96.051, 96.188, 96.242, 96.027, 96.375, 96.128, 96.127, 96.149, 96.004, 96.279, 96.129, 96.139, 95.969, 96.024, 96.058, 96.065, 96.345, 
