2 53.246, 52.983, 52.991, 52.891, 52.967, 52.998, 52.979, 52.989, 52.976, 53.146, 52.958, 52.987, 52.967, 52.988, 52.928, 53.005, 52.892, 52.879, 52.944, 52.94, 52.973, 52.89, 53.029, 52.935, 53.048, 52.996, 52.96, 53.019, 52.948, 52.893, 52.944, 52.973, 52.951, 53.033, 52.97, 52.957, 52.945, 52.955, 52.961, 52.982, 52.951, 52.964, 52.955, 52.976, 52.991, 52.949, 53.008, 52.944, 53.044, 52.93, 53.065, 52.939, 52.933, 52.93, 52.979, 52.845, 52.975, 52.98, 52.974, 52.973, 52.942, 52.963, 53.065, 52.948, 52.999, 52.933, 52.974, 53.005, 52.94, 52.953, 52.971, 52.882, 52.927, 52.945, 52.972, 53.038, 53.715, 53.002, 52.973, 52.902, 53.022, 52.904, 52.938, 52.961, 52.935, 52.964, 52.916, 52.941, 52.922, 53.031, 52.883, 52.997, 52.954, 52.967, 52.88, 52.883, 52.961, 52.969, 53.031, 52.894, 
22 356.704, 357.738, 357.094, 357.47, 357.372, 357.413, 356.974, 356.901, 357.411, 357.396, 357.347, 356.718, 356.882, 357.283, 356.914, 357.097, 357.093, 357.6, 356.949, 357.504, 358.118, 356.481, 357.344, 357.08, 357.533, 356.91, 357.522, 356.721, 357.068, 357.13, 356.863, 356.584, 356.973, 356.828, 357.053, 358.256, 357.248, 357.296, 357.216, 357.719, 357.061, 357.388, 357.315, 356.724, 357.452, 357.311, 356.536, 357.008, 357.263, 356.577, 357.81, 357.41, 357.461, 356.283, 357.142, 357.484, 356.778, 356.451, 356.865, 356.991, 356.744, 356.722, 356.998, 357.092, 357.037, 357.259, 358.449, 356.798, 357.12, 356.934, 357.305, 357.129, 357.384, 357.336, 357.768, 357.344, 357.432, 357.951, 357.615, 357.42, 357.355, 357.414, 357.313, 357.045, 357.158, 357.105, 356.834, 357.285, 357.255, 356.877, 357.262, 357.803, 357.184, 356.853, 357.541, 357.055, 358.235, 357.423, 356.652, 357.417, 
42 663.001, 664.745, 663.579, 663.369, 662.944, 663.345, 663.075, 662.45, 662.707, 661.67, 663.173, 662.229, 663.249, 663.299, 662.258, 700.096, 665.411, 662.923, 662.718, 665.697, 662.3, 662.039, 663.942, 663.526, 663.344, 663.075, 661.553, 662.957, 663.036, 663.101, 663.021, 663.138, 662.93, 662.723, 663.686, 663.023, 663.657, 662.541, 662.631, 662.605, 662.196, 662.305, 662.837, 662.657, 662.674, 663.033, 663.893, 664.724, 661.703, 662.761, 662.608, 663.277, 663.732, 662.164, 663.191, 662.371, 662.195, 662.471, 663.244, 664.169, 663.112, 662.778, 662.786, 663.24, 663.562, 663.478, 663.174, 662.18, 663.979, 663.187, 662.187, 663.676, 661.721, 663.979, 662.489, 663.159, 663.081, 662.376, 662.674, 662.57, 662.061, 661.726, 662.455, 663.182, 662.284, 663.137, 661.849, 661.858, 662.204, 663.337, 662.361, 662.217, 662.497, 663.719, 662.526, 662.759, 663.009, 662.611, 662.035, 663.592, 
62 968.23, 970.638, 969.609, 971.435, 969.83, 969.002, 969.072, 969.239, 969.025, 970.138, 970.149, 969.672, 970.316, 969.406, 968.305, 970.269, 968.91, 966.855, 972.668, 969.342, 969.412, 968.434, 968.148, 967.495, 968.273, 968.694, 970.553, 967.447, 967.747, 969.285, 970.639, 970.4, 969.376, 969.137, 968.378, 968.11, 968.786, 969.436, 969.586, 968.669, 968.853, 970.745, 969.219, 969.346, 969.038, 968.202, 968.561, 967.207, 968.671, 970.426, 969.687, 969.423, 967.948, 967.457, 969.221, 968.918, 968.722, 969.432, 969.489, 967.095, 970.199, 968.218, 969.34, 970.361, 970.723, 968.438, 968.03, 967.367, 969.272, 969.943, 970.913, 971.751, 968.769, 968.208, 970.468, 970.822, 968.743, 971.248, 968.98, 969.555, 970.38, 969.918, 970.346, 969.469, 968.03, 968.272, 970.287, 968.785, 973.082, 968.484, 969.482, 969.391, 968.212, 968.761, 971.403, 970.326, 969.847, 969.246, 968.243, 970.157, 
82 1272.67, 1267.64, 1269.55, 1267.3, 1267.32, 1267.66, 1269.43, 1268.58, 1266.76, 1268.87, 1268.28, 1269.99, 1268.77, 1267.91, 1268.84, 1267.84, 1268.58, 1267.94, 1268.36, 1268.13, 1268.05, 1267.14, 1268.15, 1269.2, 1267.8, 1267.55, 1268.76, 1267.86, 1268.51, 1267.89, 1268.02, 1268.44, 1268.48, 1267.31, 1268.36, 1268.17, 1268.64, 1268.36, 1268.35, 1265.95, 1268.19, 1268.19, 1268.54, 1267.93, 1268.95, 1268.43, 1268.48, 1266.86, 1269.02, 1269.02, 1267.29, 1269.07, 1268.22, 1270.22, 1269.14, 1267.58, 1268.33, 1269.57, 1268.45, 1268.39, 1268.04, 1268.97, 1269.7, 1268.77, 1267.89, 1268.36, 1268.66, 1267.39, 1268.1, 1267.09, 1269.02, 1267.27, 1268.16, 1267.49, 1267.19, 1268.57, 1267.43, 1267.6, 1267.37, 1268.66, 1267.6, 1267.86, 1267.17, 1268.04, 1267.71, 1266.97, 1268, 1267.26, 1266.78, 1267.57, 1267.65, 1267.03, 1267.18, 1267.58, 1267.31, 1267.05, 1267.61, 1267.59, 1267.51, 1267.21, 
102 1580.6, 1533.23, 1537.81, 1534.58, 1564.9, 1568.13, 1567.76, 1565.46, 1569.4, 1573.36, 1569.57, 1567.85, 1570.21, 1571.74, 1571.9, 1572.22, 1569.59, 1571.45, 1572.4, 1570.73, 1572.28, 1570.27, 1572.68, 1570.4, 1571.38, 1570.21, 1570.82, 1570.2, 1569.67, 1569.88, 1570.26, 1569.51, 1571.03, 1570.8, 1566.57, 1570.19, 1571.09, 1568.96, 1570.18, 1569.4, 1572.1, 1569.92, 1571.15, 1569.64, 1571.48, 1567.64, 1569.39, 1570.22, 1567.81, 1569.37, 1570.63, 1567.45, 1571.58, 1571.2, 1571.54, 1569.46, 1570.55, 1569.65, 1570.76, 1570.17, 1566.8, 1568.04, 1570.62, 1568.19, 1568.47, 1571.22, 1570.68, 1569.92, 1570.14, 1569.87, 1569.48, 1569.53, 1572.25, 1570.48, 1570.59, 1571.32, 1570.34, 1569.6, 1570.37, 1571.82, 1570.48, 1571.35, 1570.5, 1571.39, 1571.34, 1569.45, 1571.62, 1571.35, 1570.25, 1572.05, 1568.94, 1571.33, 1570.79, 1571.16, 1570.29, 1572.16, 1571.25, 1569.45, 1570.38, 1570.58, 
122 1877.98, 1826.36, 1831.53, 1836.86, 1855.35, 1879.53, 1878.93, 1881.77, 1881.3, 1879.72, 1881.32, 1879.36, 1880.09, 1879.41, 1881.85, 1880.94, 1881.8, 1880.09, 1880.88, 1881.4, 1880.58, 1881.56, 1880.33, 1879.64, 1880.82, 1877.75, 1880.61, 1879.52, 1881.71, 1878.78, 1879.8, 1878.38, 1880.53, 1877.84, 1880.01, 1882.83, 1880.66, 1881.57, 1878.36, 1879.19, 1878.66, 1880.74, 1882.43, 1881.53, 1880.35, 1881.83, 1881.11, 1880.9, 1879.88, 1880.09, 1880.53, 1877.67, 1877.85, 1880.91, 1880.74, 1881.28, 1881.19, 1880.17, 1882.01, 1915.35, 1881.49, 1879.97, 1881.25, 1880.02, 1879.8, 1880.52, 1880.99, 1880.13, 1884.04, 1879.68, 1883.02, 1879.59, 1879.59, 1879.77, 1882.12, 1884.43, 1880.76, 1878.4, 1879.58, 1881.55, 1880.74, 1878.89, 1883.4, 1880.97, 1880.57, 1879.78, 1881.22, 1880.29, 1879.98, 1878.89, 1880.29, 1881.82, 1877.64, 1880.5, 1881.38, 1882.88, 1879.12, 1879.22, 1879.98, 1878.91, 
142 2184.46, 2121.2, 2164.99, 2172.3, 2179.05, 2180.18, 2183.99, 2183.01, 2181.59, 2179.91, 2182.57, 2181.12, 2182.12, 2182.51, 2231.53, 2187.6, 2184.47, 2182.21, 2181.98, 2181.09, 2180.81, 2183.09, 2181.93, 2181.97, 2184.33, 2181.11, 2182.47, 2180.71, 2181.74, 2181.08, 2182.01, 2182.3, 2182.95, 2183.64, 2180.7, 2179.88, 2183.04, 2181.89, 2183.14, 2181.27, 2181.53, 2182.57, 2181.89, 2181.46, 2179.71, 2178.02, 2182.75, 2179.28, 2182.06, 2181.82, 2180.18, 2182.15, 2181.97, 2181.85, 2181.88, 2179.38, 2182.71, 2182.07, 2183.96, 2182.01, 2181.28, 2183, 2179.59, 2182.29, 2182.8, 2181.42, 2180.45, 2179.79, 2184.97, 2181.08, 2180.43, 2179.94, 2180.94, 2181.06, 2180.76, 2181.63, 2179.47, 2179.3, 2183.44, 2177.83, 2183.06, 2180.6, 2179.53, 2182.66, 2181, 2179.98, 2183.02, 2180.46, 2180.86, 2181.53, 2179.76, 2182.15, 2178.22, 2182.31, 2180.38, 2180.89, 2181.53, 2179.4, 2182.55, 2181.14, 
162 2486.7, 2418.72, 2469.18, 2462.1, 2481.17, 2499.05, 2499.95, 2496.73, 2500.76, 2497, 2494.64, 2498.74, 2497.77, 2499.51, 2499.7, 2542.61, 2495.26, 2495.51, 2496.84, 2496.86, 2498.34, 2498, 2497.12, 2496.4, 2492.32, 2498.21, 2497.17, 2496.47, 2498.95, 2494.72, 2496.64, 2499.22, 2495.84, 2494.11, 2494.91, 2498.11, 2492.85, 2500.2, 2497.36, 2500.32, 2494.93, 2495.45, 2493.51, 2498.28, 2495.85, 2501.78, 2497.18, 2499.39, 2500.07, 2497.35, 2493.38, 2497.76, 2498.02, 2497.04, 2500.04, 2497.63, 2498.09, 2498.49, 2493.76, 2495.97, 2492.47, 2494.17, 2489.6, 2493.23, 2495.2, 2495.26, 2491.51, 2496.02, 2492.45, 2492.77, 2492.96, 2491.64, 2491.96, 2495.01, 2493.27, 2492.32, 2490.8, 2490.66, 2491.16, 2491.75, 2489.64, 2497.45, 2495.8, 2497.19, 2490.8, 2495.16, 2495.28, 2490.78, 2494.65, 2494.95, 2495.45, 2493.03, 2493.58, 2492.43, 2489.59, 2490.59, 2499.57, 2490.44, 2495.64, 2487.03, 
182 2788.27, 2773.26, 2794.7, 2794.61, 2831.53, 2797.94, 2791.68, 2792.19, 2792.46, 2793.02, 2790.84, 2791.88, 2789.48, 2789.76, 2796.33, 2797.14, 2793.56, 2793.92, 2793.12, 2790.19, 2789.96, 2790.31, 2790.16, 2790.97, 2791.51, 2790.64, 2794.92, 2793.49, 2794.77, 2787.63, 2790.12, 2793.34, 2794, 2797.02, 2795.84, 2794.64, 2788.9, 2796.41, 2796.07, 2800.23, 2791.01, 2796.4, 2797.82, 2793.92, 2791.61, 2792.47, 2793.28, 2788.13, 2792.16, 2792.81, 2790.68, 2792.92, 2792.04, 2792.08, 2794.93, 2792.56, 2792.14, 2792.19, 2791.32, 2797.26, 2793.51, 2791.24, 2795.1, 2793.58, 2794.29, 2793.16, 2789.74, 2793.71, 2794.02, 2793.72, 2792.57, 2795.59, 2795.92, 2794.53, 2788.88, 2787.92, 2787.13, 2798.19, 2794.39, 2794.08, 2802.29, 2793.47, 2791.81, 2790.8, 2791.75, 2797.75, 2794.75, 2826.15, 2796.81, 2795.74, 2790.53, 2794.65, 2793.45, 2793.31, 2797.03, 2790.29, 2799.02, 2795.51, 2791.51, 2792.17, 
202 3085.98, 3098.99, 3100.36, 3103.9, 3074.72, 3090.22, 3090.25, 3094.84, 3096.08, 3095.74, 3094.55, 3093.68, 3097.27, 3095.94, 3095.36, 3096.71, 3094.52, 3094.05, 3093.5, 3089.84, 3094.13, 3096.51, 3091.34, 3094.88, 3092.5, 3093.88, 3096.72, 3091.55, 3094.46, 3098.52, 3091.24, 3093.27, 3091.96, 3094.13, 3094.09, 3094.73, 3094.81, 3094.91, 3098.39, 3092.11, 3094.81, 3091.88, 3096.97, 3090.53, 3092.88, 3093.83, 3097.24, 3093.87, 3093.2, 3095.55, 3093.69, 3092.74, 3096.7, 3098.32, 3097.84, 3100.51, 3094.4, 3097.56, 3091.16, 3092.46, 3095.06, 3097.45, 3099.19, 3093.79, 3095.94, 3097.88, 3099.11, 3098.84, 3097.11, 3094.73, 3095.78, 3093.2, 3097.43, 3096.76, 3095.89, 3093.21, 3097.97, 3094.88, 3096.45, 3093.35, 3091.62, 3095.1, 3090.93, 3095.96, 3095.71, 3091.76, 3097.1, 3093.71, 3096.2, 3097.77, 3091.42, 3092.61, 3095.12, 3092.96, 3091.93, 3091.83, 3096.88, 3091.47, 3097.81, 3097.86, 
