2 53.818, 53.5, 53.685, 53.548, 53.589, 53.559, 53.503, 53.499, 53.536, 53.857, 53.548, 53.568, 53.57, 53.504, 53.505, 53.512, 53.483, 53.53, 53.48, 53.469, 53.546, 53.514, 53.507, 53.471, 53.567, 53.484, 53.549, 53.535, 53.569, 53.499, 53.552, 53.499, 53.522, 53.507, 53.541, 53.478, 53.539, 53.52, 53.511, 53.491, 53.485, 53.51, 53.516, 53.533, 53.479, 53.549, 53.501, 53.504, 53.508, 53.5, 53.508, 53.516, 53.488, 53.517, 53.487, 53.547, 53.521, 53.58, 53.589, 53.531, 53.571, 53.604, 53.548, 53.498, 53.479, 53.504, 53.558, 53.495, 53.548, 53.516, 53.491, 53.53, 53.521, 53.533, 53.506, 53.526, 53.53, 53.571, 55.212, 54.149, 53.813, 53.9, 53.569, 58.453, 55.195, 54.479, 56.053, 55.906, 55.967, 55.792, 54.909, 54.225, 54.226, 55.195, 53.686, 53.514, 53.536, 53.536, 53.539, 53.519, 
22 362.348, 362.536, 361.969, 365.595, 361.836, 362.793, 362.112, 361.633, 362.39, 362.297, 361.87, 362.071, 361.609, 361.856, 361.835, 362.139, 362.216, 361.774, 362.019, 362.04, 362.267, 362.145, 362.136, 362.33, 362.227, 362.17, 362.223, 361.97, 362.184, 362.107, 361.923, 362.249, 362.088, 362.29, 362.39, 362.042, 362.633, 362.221, 363.322, 362.546, 362.111, 362.196, 362.058, 362.31, 362.116, 362.082, 361.923, 362.19, 361.968, 361.981, 362.033, 361.994, 362.161, 362.005, 362.096, 362.064, 361.989, 362.045, 362.095, 362.172, 361.758, 362.174, 361.935, 362.834, 361.841, 362.974, 361.825, 362.037, 361.697, 361.954, 362.485, 362.206, 361.761, 361.97, 361.871, 361.887, 361.834, 361.841, 361.574, 361.825, 361.732, 361.872, 361.695, 361.859, 361.541, 361.923, 361.83, 361.933, 361.675, 361.759, 361.559, 362.013, 361.745, 362.041, 361.833, 361.818, 361.776, 362.131, 361.586, 361.976, 
42 671.83, 670.637, 669.717, 670.139, 671.197, 670.866, 670.257, 670.58, 670.412, 670.084, 671.326, 670.488, 670.679, 671.355, 670.003, 670.077, 670.911, 670.534, 670.611, 670.583, 670.824, 671.056, 670.729, 671.216, 670.358, 670.633, 670.445, 670.684, 670.255, 670.631, 670.763, 670.21, 670.199, 670.53, 670.974, 671.397, 670.28, 670.603, 670.942, 670.771, 671.058, 670.91, 671.431, 670.054, 670.999, 670.768, 670.013, 670.656, 670.388, 670.778, 670.283, 670.097, 670.425, 670.166, 670.335, 670.872, 670.123, 670.237, 670.635, 671.241, 670.455, 669.58, 669.599, 670.282, 670.204, 669.67, 670.36, 669.634, 670.71, 670.355, 670.468, 669.715, 670.205, 670.236, 670.774, 669.575, 670.772, 669.391, 670.068, 669.589, 670.779, 670.567, 670.351, 670.647, 670.891, 670.113, 670.554, 669.335, 670.414, 669.521, 670.142, 669.69, 670.806, 670.244, 670.604, 670.251, 670.603, 670.279, 670.558, 669.9, 
62 979.369, 977.795, 977.931, 979.556, 979.039, 978.466, 978.187, 978.679, 978.222, 979.141, 978.212, 979.319, 979.148, 977.616, 979.186, 979.255, 979.1, 978.211, 978.33, 978.019, 978.842, 978.116, 979.047, 978.561, 978.505, 978.346, 978.83, 978.509, 979.571, 979.286, 980.346, 978.882, 979.429, 978.502, 978.749, 979.065, 977.976, 978.424, 978.149, 978.774, 978.721, 978.54, 977.81, 978.008, 978.367, 978.593, 978.179, 978.402, 978.936, 978.606, 980.202, 979.598, 979.592, 978.672, 978.818, 978.361, 978.763, 978.211, 979.116, 978.888, 978.567, 978.534, 977.684, 978.961, 978.924, 978.529, 979.526, 978.472, 978.19, 978.142, 978.802, 977.82, 978.126, 977.883, 978.093, 978.905, 978.16, 978.544, 978.316, 978.362, 978.498, 978.356, 978.142, 978.005, 978.492, 978.709, 977.843, 978.33, 977.971, 978.067, 977.366, 978.364, 978.353, 977.818, 977.749, 978.313, 978.415, 978.016, 978.566, 978.693, 
82 1288, 1286.17, 1287.02, 1287.51, 1288.05, 1286.01, 1287.64, 1286.75, 1287.25, 1287.98, 1287.66, 1287.74, 1306.34, 1287.32, 1287.48, 1286.98, 1286.98, 1288.51, 1287.17, 1287.44, 1287.23, 1288.16, 1287.51, 1287.15, 1287.98, 1288.25, 1287.33, 1287.09, 1288.14, 1287.96, 1287.56, 1286.71, 1286.68, 1287.41, 1288.28, 1288.33, 1287.01, 1287.94, 1288.43, 1288.11, 1287.98, 1286.19, 1288.57, 1287.85, 1286.76, 1287.33, 1287.86, 1287.3, 1286.94, 1287.58, 1288.1, 1288.5, 1288.1, 1288.24, 1288.8, 1288.13, 1288.83, 1287.44, 1288.48, 1288.52, 1289.18, 1288.25, 1288.33, 1287.45, 1288.65, 1288.76, 1289.16, 1288.38, 1288.46, 1287.38, 1288.24, 1287.77, 1288.04, 1289.82, 1286.99, 1288.23, 1289.15, 1288.94, 1288.36, 1288.83, 1289.14, 1288.36, 1289.92, 1288.46, 1288.88, 1287.92, 1289.31, 1289.07, 1288.32, 1289.73, 1289.1, 1288.02, 1288.5, 1288.22, 1288.28, 1288.94, 1288.17, 1289.01, 1288.23, 1288.07, 
102 1592.54, 1592.35, 1594.93, 1593.88, 1594.74, 1594.87, 1595.66, 1594.47, 1594.89, 1593.91, 1593.59, 1595.24, 1594.17, 1594.18, 1594.41, 1594.25, 1595.26, 1594.82, 1593.88, 1594.23, 1595.61, 1594.32, 1593.8, 1594.24, 1594.39, 1595.43, 1594.27, 1594.67, 1593.8, 1594.45, 1592.9, 1595.12, 1595.06, 1594.21, 1594.89, 1594.36, 1594.23, 1594.49, 1594.25, 1593.66, 1593.57, 1594.31, 1594.56, 1594.49, 1595.72, 1593.85, 1594.06, 1593.29, 1594.53, 1594.1, 1594.1, 1594.49, 1594.27, 1595.14, 1594.34, 1593.67, 1594.87, 1594.22, 1594.42, 1594.14, 1592.97, 1593.76, 1594.59, 1594.44, 1594.55, 1594.21, 1594.65, 1593.68, 1594.31, 1594.14, 1594.82, 1593.92, 1595.67, 1594.12, 1594.29, 1593.57, 1616.97, 1594.04, 1592.54, 1594.73, 1594.04, 1593.6, 1594.45, 1594.59, 1594.87, 1594.43, 1593.48, 1594.2, 1593.75, 1594.43, 1593.63, 1594.09, 1594.04, 1594.85, 1594.09, 1595.13, 1594.23, 1594.02, 1593.6, 1594.33, 
122 1904.01, 1901.69, 1902.4, 1902.99, 1902.41, 1901.91, 1902.34, 1901.5, 1900.98, 1903.24, 1903.27, 1902.19, 1902.35, 1903.63, 1902.23, 1901.89, 1902.36, 1901.99, 1902.25, 1901.83, 1901.96, 1902.69, 1901.67, 1902.04, 1900.14, 1901.86, 1901.66, 1901.68, 1902.79, 1901.83, 1901.54, 1902.73, 1903.1, 1902.84, 1902.45, 1901.45, 1902.03, 1902.37, 1901.88, 1901.39, 1902.95, 1903.59, 1902.49, 1902.5, 1902.96, 1903.17, 1904.79, 1903.15, 1902.18, 1902.39, 1902.29, 1901.87, 1902.25, 1901.64, 1903.24, 1902.36, 1901.66, 1901.56, 1900.96, 1902.51, 1902.86, 1902.4, 1902.69, 1903.66, 1901.89, 1902.75, 1902.31, 1900.83, 1901.22, 1900.67, 1901.28, 1902.85, 1902.01, 1902.2, 1900.98, 1901.22, 1901.54, 1902.95, 1901.92, 1902.48, 1903.25, 1902.46, 1902.22, 1901.16, 1902.21, 1902.76, 1900.87, 1902.35, 1901.73, 1900.96, 1901.76, 1902.49, 1901.41, 1901.78, 1902.8, 1901.86, 1902, 1902.31, 1901.32, 1902.52, 
142 2220.15, 2212.48, 2212.68, 2212.73, 2213.03, 2213.18, 2213.59, 2213.49, 2211.77, 2213.15, 2212.84, 2212.98, 2213.34, 2213.84, 2212.74, 2213.05, 2206.53, 2213.26, 2213.56, 2211.43, 2212.87, 2212.82, 2213, 2212.88, 2212.87, 2212.13, 2213.85, 2213.35, 2212.73, 2212.53, 2213.49, 2212.87, 2212.38, 2211.81, 2211.96, 2212.49, 2211.9, 2213.52, 2211.58, 2210.89, 2212.88, 2211.26, 2212.87, 2213.33, 2213.38, 2212.86, 2212.96, 2212.43, 2213.17, 2213.39, 2211.86, 2213.02, 2213.12, 2212.47, 2211.88, 2211.42, 2212.3, 2211.07, 2211.84, 2211.67, 2211.44, 2211.63, 2208.88, 2211.86, 2210.95, 2211.71, 2208.41, 2206.32, 2210.41, 2212.09, 2212.31, 2210.3, 2210.49, 2205.49, 2211.42, 2211.26, 2207.98, 2210.54, 2211.49, 2211.4, 2211.32, 2211.24, 2212.28, 2211.73, 2209.67, 2211.36, 2211.9, 2211.23, 2211.81, 2212.05, 2210.06, 2212.26, 2211.33, 2209.73, 2211.68, 2209.88, 2204.06, 2210.66, 2212.95, 2211.6, 
162 2518.17, 2513.18, 2518.17, 2516.19, 2512.47, 2537.62, 2518.64, 2516.77, 2517.45, 2517.24, 2517.41, 2518.48, 2520.52, 2517.81, 2519.48, 2516.37, 2514.29, 2516.74, 2517.09, 2519.57, 2518.88, 2517.53, 2518.14, 2519.24, 2515.86, 2517.95, 2519.66, 2518.12, 2518.35, 2518.81, 2517.2, 2518.41, 2517.03, 2519.36, 2515.66, 2517.32, 2520.04, 2518.17, 2519.06, 2516.51, 2517.33, 2518.73, 2516.95, 2515.71, 2515.52, 2517.86, 2517.11, 2521.74, 2518.47, 2517.77, 2517.45, 2517.47, 2515.53, 2517.76, 2516.45, 2516.79, 2515.44, 2516.34, 2517.23, 2516.52, 2518.8, 2518.18, 2517.86, 2517.39, 2515.88, 2516.12, 2518.01, 2517.85, 2514.82, 2517.21, 2516.9, 2517.59, 2518.03, 2515.76, 2514.01, 2518.59, 2518.86, 2518.77, 2517.78, 2517.15, 2515.05, 2517.5, 2515, 2515.23, 2515.76, 2519.19, 2516.12, 2517.68, 2514.52, 2516.2, 2518.14, 2518.4, 2515.94, 2517.8, 2517.16, 2516.91, 2515.87, 2514.41, 2517.27, 2514.35, 
182 2817.33, 2824.39, 2821.57, 2823.79, 2824.45, 2823.28, 2824.6, 2826.44, 2821.86, 2824.51, 2821.48, 2822.23, 2825.3, 2827.81, 2822.14, 2827.05, 2822.82, 2823.39, 2826.6, 2825.97, 2820.84, 2825.64, 2822.66, 2822.64, 2823.75, 2827.02, 2825.07, 2827.77, 2824.1, 2823.62, 2827.19, 2822.39, 2827.86, 2827.45, 2825.19, 2822.95, 2822.38, 2825.62, 2813.78, 2821.64, 2824.97, 2825.68, 2820.99, 2811.52, 2822.88, 2825.37, 2824.89, 2822.06, 2826.88, 2825.15, 2826.25, 2825.72, 2824.63, 2822.67, 2815.34, 2824.6, 2823.23, 2823.34, 2825.59, 2825.35, 2824.61, 2812.82, 2825.03, 2821.94, 2825.55, 2825.61, 2824.37, 2825.51, 2822.68, 2815.26, 2823.17, 2824.53, 2823.96, 2812.17, 2820.83, 2826.91, 2821.3, 2823, 2825.57, 2813.46, 2824.8, 2824.26, 2823.18, 2840.11, 2822.9, 2824.29, 2823.76, 2825.52, 2823.91, 2825.37, 2822.19, 2823.44, 2822.83, 2826.47, 2824.75, 2821.59, 2820.67, 2819.84, 2820.13, 2823.93, 
