0: 
1: 
2: 2.603, 2.593, 2.589, 2.592, 2.591, 2.596, 2.588, 2.588, 2.591, 2.587, 2.596, 2.596, 2.593, 2.607, 2.599, 2.612, 2.613, 2.617, 2.611, 2.62, 2.613, 2.619, 2.622, 2.63, 2.636, 2.642, 2.637, 2.655, 2.64, 2.646, 2.641, 2.641, 2.639, 2.618, 2.615, 2.661, 2.64, 2.635, 2.656, 2.647, 2.645, 2.651, 2.644, 2.648, 2.644, 2.654, 2.648, 2.649, 2.656, 2.647, 2.642, 2.647, 2.653, 2.65, 2.624, 2.63, 2.618, 2.618, 2.629, 2.631, 2.623, 2.627, 2.626, 2.618, 2.617, 2.631, 2.627, 2.629, 2.632, 2.625, 2.606, 2.608, 2.604, 2.592, 2.594, 2.635, 2.63, 2.63, 2.626, 2.625, 2.619, 2.622, 2.618, 2.606, 2.624, 2.62, 2.609, 2.607, 2.699, 2.6, 2.588, 2.586, 2.578, 2.588, 2.586, 2.586, 2.585, 2.584, 2.582, 2.59, 
3: 2.631, 2.636, 2.652, 2.636, 2.625, 2.625, 2.624, 2.626, 2.634, 2.638, 2.632, 2.634, 2.614, 2.624, 2.625, 2.634, 2.619, 2.63, 2.646, 2.637, 2.639, 2.633, 2.635, 2.625, 2.623, 2.637, 2.632, 2.626, 2.692, 2.625, 2.618, 2.624, 2.634, 2.664, 2.629, 2.63, 2.644, 2.629, 2.628, 2.64, 2.642, 2.649, 2.649, 2.633, 2.635, 2.625, 2.631, 2.644, 2.629, 2.623, 2.639, 2.612, 2.631, 2.632, 2.633, 2.632, 2.628, 2.631, 2.63, 2.63, 2.644, 2.639, 2.627, 2.624, 2.649, 2.635, 2.634, 2.629, 2.631, 2.629, 2.645, 2.755, 2.636, 2.635, 2.647, 2.634, 2.641, 2.615, 2.619, 2.619, 2.631, 2.627, 2.633, 2.629, 2.641, 2.64, 2.617, 2.63, 2.619, 2.618, 2.602, 2.616, 2.616, 2.633, 2.623, 2.608, 2.616, 2.654, 2.634, 2.638, 
4: 2.531, 2.539, 2.539, 2.544, 2.554, 2.551, 2.573, 2.562, 2.575, 2.561, 2.555, 2.558, 2.558, 2.516, 2.513, 2.517, 2.548, 2.565, 2.554, 2.553, 2.528, 2.536, 2.535, 2.532, 2.513, 2.515, 2.523, 2.554, 2.537, 2.547, 2.532, 2.651, 2.515, 2.548, 2.55, 2.522, 2.525, 2.522, 2.547, 2.542, 2.537, 2.546, 2.519, 2.528, 2.532, 2.536, 2.533, 2.541, 2.523, 2.524, 2.522, 2.546, 2.548, 2.543, 2.55, 2.545, 2.544, 2.566, 2.564, 2.55, 2.538, 2.528, 2.513, 2.515, 2.536, 2.54, 2.543, 2.551, 2.562, 2.53, 2.533, 2.528, 2.534, 2.541, 2.525, 2.537, 2.53, 2.535, 2.535, 2.548, 2.552, 2.566, 2.561, 2.549, 2.529, 2.549, 2.538, 2.519, 2.539, 2.544, 2.527, 2.519, 2.537, 2.541, 2.527, 2.51, 2.52, 2.517, 2.517, 2.525, 
5: 2.634, 2.631, 2.63, 2.624, 2.613, 2.608, 2.61, 2.64, 2.653, 2.646, 2.633, 2.64, 2.632, 2.612, 2.636, 2.625, 2.653, 2.65, 2.641, 2.658, 2.65, 2.64, 2.635, 2.627, 2.627, 2.648, 2.638, 2.634, 2.635, 2.638, 2.633, 2.632, 2.651, 2.63, 2.631, 2.609, 2.619, 2.624, 2.609, 2.613, 2.618, 2.617, 2.628, 2.628, 2.618, 2.616, 2.623, 2.626, 2.616, 2.612, 2.61, 2.612, 2.595, 2.615, 2.616, 2.591, 2.62, 2.622, 2.624, 2.641, 2.619, 2.608, 2.638, 2.628, 2.614, 2.629, 2.605, 2.617, 2.615, 2.615, 2.622, 2.638, 2.625, 2.628, 2.618, 2.631, 2.61, 2.627, 2.622, 2.619, 2.62, 2.622, 2.619, 2.596, 2.598, 2.613, 2.765, 2.632, 2.625, 2.749, 2.615, 2.633, 2.62, 2.611, 2.623, 2.618, 2.617, 2.617, 2.621, 2.615, 
6: 2.623, 2.61, 2.63, 2.641, 2.636, 2.644, 2.632, 2.626, 2.618, 2.629, 2.621, 2.622, 2.626, 2.638, 2.638, 2.623, 2.62, 2.637, 2.636, 2.685, 2.641, 2.638, 2.629, 2.619, 2.611, 2.622, 2.621, 2.624, 2.625, 2.625, 2.618, 2.609, 2.638, 2.636, 2.646, 2.652, 2.629, 2.646, 2.664, 2.645, 2.627, 2.643, 2.64, 2.658, 2.643, 2.642, 2.652, 2.66, 2.655, 2.645, 2.657, 2.655, 2.643, 2.644, 2.625, 2.643, 2.661, 2.658, 2.662, 2.646, 2.64, 2.641, 2.619, 2.622, 2.623, 2.645, 2.635, 2.615, 2.617, 2.597, 2.614, 2.637, 2.604, 2.63, 2.625, 2.646, 2.636, 2.631, 2.607, 2.629, 2.63, 2.624, 2.627, 2.634, 2.648, 2.623, 2.632, 2.764, 2.628, 2.634, 2.615, 2.602, 2.598, 2.574, 2.577, 2.58, 2.572, 2.574, 2.567, 2.563, 
7: 2.376, 2.372, 2.382, 2.382, 2.375, 2.391, 2.389, 2.396, 2.396, 2.395, 2.396, 2.383, 2.382, 2.399, 2.402, 2.387, 2.401, 2.416, 2.416, 2.397, 2.405, 2.402, 2.401, 2.397, 2.38, 2.41, 2.405, 2.389, 2.384, 2.406, 2.403, 2.4, 2.403, 2.397, 2.407, 2.404, 2.408, 2.396, 2.402, 2.37, 2.402, 2.416, 2.407, 2.459, 2.393, 2.361, 2.382, 2.396, 2.387, 2.386, 2.401, 2.391, 2.399, 2.373, 2.406, 2.382, 2.386, 2.38, 2.381, 2.39, 2.393, 2.487, 2.399, 2.367, 2.386, 2.374, 2.366, 2.361, 2.369, 2.375, 2.389, 2.373, 2.382, 2.371, 2.372, 2.377, 2.374, 2.374, 2.379, 2.391, 2.381, 2.354, 2.374, 2.365, 2.385, 2.364, 2.376, 2.365, 2.365, 2.362, 2.353, 2.336, 2.374, 2.366, 2.357, 2.356, 2.365, 2.346, 2.352, 2.368, 
8: 2.654, 2.658, 2.637, 2.649, 2.67, 2.64, 2.654, 2.67, 2.653, 2.67, 2.685, 2.671, 2.658, 2.662, 2.653, 2.641, 2.646, 2.654, 2.662, 2.645, 2.648, 2.632, 2.656, 2.655, 2.641, 2.664, 2.637, 2.661, 2.673, 2.676, 2.679, 2.693, 2.69, 2.696, 2.696, 2.695, 2.718, 2.702, 2.717, 2.697, 2.696, 2.695, 2.814, 2.72, 2.704, 2.702, 2.698, 2.7, 2.709, 2.694, 2.697, 2.694, 2.698, 2.704, 2.699, 2.696, 2.711, 2.688, 2.696, 2.686, 2.699, 2.682, 2.683, 2.677, 2.666, 2.666, 2.667, 2.673, 2.676, 2.672, 2.688, 2.689, 2.676, 2.67, 2.678, 2.676, 2.659, 2.682, 2.693, 2.669, 2.646, 2.667, 2.65, 2.666, 2.645, 2.668, 2.669, 2.663, 2.68, 2.664, 2.685, 2.665, 2.66, 2.675, 2.662, 2.686, 2.699, 2.695, 2.694, 2.703, 
9: 2.565, 2.559, 2.581, 2.566, 2.584, 2.564, 2.544, 2.569, 2.575, 2.597, 2.585, 2.586, 2.591, 2.607, 2.599, 2.609, 2.596, 2.615, 2.6, 2.614, 2.624, 2.597, 2.611, 2.611, 2.593, 2.654, 2.592, 2.621, 2.61, 2.593, 2.598, 2.616, 2.583, 2.615, 2.602, 2.615, 2.592, 2.601, 2.605, 2.6, 2.612, 2.606, 2.607, 2.588, 2.6, 2.601, 2.624, 2.598, 2.604, 2.591, 2.614, 2.585, 2.586, 2.597, 2.591, 2.617, 2.595, 2.592, 2.607, 2.61, 2.609, 2.612, 2.596, 2.61, 2.593, 2.59, 2.585, 2.587, 2.591, 2.61, 2.591, 2.608, 2.604, 2.592, 2.59, 2.596, 2.6, 2.581, 2.587, 2.609, 2.617, 2.615, 2.599, 2.607, 2.593, 2.589, 2.586, 2.586, 2.595, 2.61, 2.621, 2.604, 2.601, 2.577, 2.568, 2.565, 2.557, 2.572, 2.573, 2.552, 
10: 2.406, 2.433, 2.426, 2.406, 2.424, 2.431, 2.43, 2.443, 2.428, 2.438, 2.44, 2.456, 2.44, 2.448, 2.448, 2.456, 2.441, 2.536, 2.463, 2.436, 2.463, 2.447, 2.44, 2.446, 2.441, 2.444, 2.449, 2.45, 2.477, 2.445, 2.457, 2.448, 2.453, 2.446, 2.466, 2.445, 2.471, 2.457, 2.444, 2.469, 2.447, 2.468, 2.441, 2.444, 2.434, 2.458, 2.442, 2.461, 2.461, 2.439, 2.437, 2.443, 2.439, 2.439, 2.438, 2.436, 2.434, 2.442, 2.434, 2.439, 2.46, 2.454, 2.442, 2.434, 2.447, 2.445, 2.441, 2.447, 2.464, 2.449, 2.449, 2.463, 2.469, 2.444, 2.436, 2.457, 2.442, 2.445, 2.443, 2.444, 2.438, 2.45, 2.454, 2.452, 2.443, 2.442, 2.438, 2.455, 2.45, 2.455, 2.458, 2.46, 2.441, 2.46, 2.446, 2.438, 2.464, 2.447, 2.446, 2.45, 
11: 2.655, 2.643, 2.644, 2.633, 2.664, 2.642, 2.648, 2.639, 2.653, 2.672, 2.659, 2.658, 2.67, 2.655, 2.651, 2.638, 2.665, 2.659, 2.663, 2.675, 2.672, 2.666, 2.67, 2.654, 2.662, 2.658, 2.666, 2.662, 2.665, 2.663, 2.685, 2.673, 2.678, 2.666, 2.678, 2.663, 2.662, 2.658, 2.667, 2.662, 2.661, 2.661, 2.678, 2.684, 2.647, 2.651, 2.661, 2.662, 2.658, 2.671, 2.666, 2.666, 2.681, 2.665, 2.688, 2.665, 2.673, 2.687, 2.667, 2.675, 2.682, 2.683, 2.672, 2.673, 2.672, 2.636, 2.658, 2.644, 2.653, 2.639, 2.638, 2.649, 2.603, 2.617, 2.647, 2.635, 2.626, 2.628, 2.624, 2.651, 2.643, 2.641, 2.648, 2.627, 2.634, 2.592, 2.628, 2.645, 2.639, 2.615, 2.62, 2.632, 2.647, 2.642, 2.63, 2.636, 2.629, 2.634, 2.645, 2.633, 
