0: 
1: 
2: 2.621, 2.617, 2.613, 2.617, 2.637, 2.614, 2.609, 2.609, 2.619, 2.616, 2.616, 2.624, 2.618, 2.612, 2.642, 2.621, 2.61, 2.611, 2.613, 2.601, 2.626, 2.631, 2.624, 2.612, 2.618, 2.615, 2.619, 2.605, 2.625, 2.628, 2.604, 2.604, 2.62, 2.617, 2.62, 2.609, 2.61, 2.61, 2.614, 2.62, 2.617, 2.608, 2.62, 2.612, 2.617, 2.637, 2.632, 2.621, 2.611, 2.621, 2.616, 2.612, 2.618, 2.608, 2.62, 2.614, 2.629, 2.623, 2.606, 2.601, 2.589, 2.591, 2.582, 2.577, 2.6, 2.591, 2.606, 2.588, 2.591, 2.596, 2.585, 2.574, 2.561, 2.552, 2.554, 2.593, 2.612, 2.59, 2.59, 2.596, 2.574, 2.561, 2.556, 2.551, 2.548, 2.545, 2.544, 2.548, 2.547, 2.549, 2.545, 2.546, 2.554, 2.547, 2.545, 2.545, 2.544, 2.544, 2.544, 2.543, 
3: 4.154, 4.127, 4.161, 4.123, 4.129, 4.132, 4.134, 4.125, 4.141, 4.133, 4.142, 4.128, 4.173, 4.167, 4.158, 4.154, 4.129, 4.135, 4.129, 4.095, 4.155, 4.13, 4.129, 4.151, 4.15, 4.138, 4.145, 4.163, 4.162, 4.106, 4.167, 4.151, 4.158, 4.117, 4.164, 4.148, 4.158, 4.151, 4.157, 4.139, 4.136, 4.145, 4.143, 4.13, 4.149, 4.126, 4.129, 4.135, 4.135, 4.14, 4.129, 4.126, 4.145, 4.124, 4.148, 4.139, 4.152, 4.134, 4.131, 4.127, 4.122, 4.124, 4.135, 4.148, 4.143, 4.157, 4.144, 4.14, 4.13, 4.144, 4.174, 4.164, 4.125, 4.123, 4.116, 4.14, 4.132, 4.118, 4.121, 4.126, 4.125, 4.116, 4.081, 4.092, 4.042, 4.057, 4.04, 4.038, 4.063, 4.033, 4.05, 4.047, 4.039, 4.032, 4.039, 4.042, 4.042, 4.032, 4.034, 4.028, 
4: 5.349, 5.288, 5.288, 5.293, 5.292, 5.326, 5.332, 5.333, 5.332, 5.336, 5.328, 5.326, 5.332, 5.31, 5.336, 5.349, 5.338, 5.327, 5.351, 5.359, 5.349, 5.339, 5.338, 5.358, 5.337, 5.339, 5.347, 5.316, 5.324, 5.37, 5.351, 5.358, 5.364, 5.356, 5.34, 5.359, 5.36, 5.353, 5.389, 5.364, 5.361, 5.349, 5.375, 5.547, 5.349, 5.339, 5.323, 5.342, 5.36, 5.35, 5.572, 5.365, 5.355, 5.368, 5.387, 5.388, 5.333, 5.359, 5.374, 5.358, 5.34, 5.364, 5.36, 5.38, 5.367, 5.346, 5.352, 5.361, 5.382, 5.377, 5.386, 5.388, 5.322, 5.337, 5.346, 5.378, 5.376, 5.36, 5.342, 5.322, 5.308, 5.313, 5.245, 5.221, 5.202, 5.211, 5.217, 5.202, 5.204, 5.201, 5.192, 5.198, 5.198, 5.208, 5.207, 5.216, 5.217, 5.215, 5.222, 5.186, 
5: 6.871, 6.787, 6.897, 6.829, 6.815, 6.819, 6.779, 6.804, 6.809, 6.788, 6.79, 6.774, 6.788, 6.851, 6.79, 6.778, 6.818, 6.816, 6.781, 6.8, 6.805, 6.836, 6.823, 6.8, 6.763, 6.809, 6.824, 6.829, 6.862, 6.804, 6.782, 6.818, 6.786, 6.804, 6.787, 6.813, 6.8, 6.791, 6.83, 6.813, 6.795, 6.811, 6.805, 6.852, 6.798, 6.8, 6.85, 6.782, 6.811, 6.812, 6.844, 6.795, 6.803, 6.815, 6.794, 6.839, 6.781, 6.789, 6.785, 6.852, 6.816, 6.839, 6.831, 6.86, 6.859, 6.843, 6.851, 6.82, 6.842, 6.842, 6.86, 6.861, 6.786, 6.774, 6.794, 6.753, 6.781, 6.75, 6.719, 6.745, 6.744, 6.679, 6.648, 6.632, 6.697, 6.628, 6.62, 6.682, 6.624, 6.615, 6.661, 6.623, 6.625, 6.625, 6.62, 6.658, 6.638, 6.63, 6.596, 6.668, 
6: 8.119, 8.045, 8.146, 8.211, 8.159, 8.305, 8.134, 8.185, 8.21, 8.276, 8.177, 8.174, 8.162, 8.179, 8.181, 8.186, 8.224, 8.129, 8.11, 8.166, 8.152, 8.08, 8.191, 8.205, 8.188, 8.186, 8.124, 8.175, 8.131, 8.176, 8.16, 8.17, 8.169, 8.195, 8.18, 8.17, 8.166, 8.129, 8.141, 8.147, 8.153, 8.173, 8.153, 8.198, 8.219, 8.231, 8.173, 8.161, 8.203, 8.168, 8.172, 8.195, 8.188, 8.171, 8.149, 8.147, 8.15, 8.164, 8.159, 8.191, 8.238, 8.211, 8.208, 8.177, 8.175, 8.157, 8.201, 8.157, 8.145, 8.124, 8.192, 8.171, 8.154, 8.33, 8.161, 8.198, 8.172, 8.155, 8.102, 8.113, 8.084, 8.161, 8.137, 8.148, 8.177, 8.162, 8.195, 8.188, 8.13, 8.193, 8.121, 8.162, 8.191, 8.178, 8.221, 8.167, 8.195, 8.191, 8.232, 8.192, 
7: 9.227, 9.248, 9.308, 9.324, 9.332, 9.401, 9.379, 9.348, 9.326, 9.368, 9.338, 9.35, 9.362, 9.377, 9.399, 9.362, 9.32, 9.382, 9.369, 9.354, 9.379, 9.386, 9.352, 9.317, 9.286, 9.314, 9.332, 9.373, 9.363, 9.374, 9.324, 9.316, 9.297, 9.299, 9.28, 9.291, 9.298, 9.298, 9.274, 9.312, 9.29, 9.302, 9.271, 9.337, 9.28, 9.305, 9.271, 9.271, 9.312, 9.292, 9.306, 9.246, 9.264, 9.301, 9.302, 9.3, 9.307, 9.27, 9.257, 9.304, 9.379, 9.244, 9.318, 9.316, 9.309, 9.31, 9.31, 9.353, 9.294, 9.326, 9.298, 9.304, 9.292, 9.312, 9.317, 9.277, 9.278, 9.302, 9.279, 9.288, 9.264, 9.335, 9.3, 9.305, 9.283, 9.235, 9.291, 9.276, 9.315, 9.376, 9.315, 9.304, 9.342, 9.278, 9.277, 9.336, 9.272, 9.369, 9.271, 9.366, 
8: 10.746, 10.8, 10.768, 10.823, 10.81, 10.866, 10.865, 10.852, 10.838, 10.967, 10.959, 10.838, 10.91, 10.909, 10.894, 10.773, 10.844, 10.747, 10.769, 10.762, 10.75, 10.83, 10.754, 10.806, 10.743, 10.819, 10.775, 10.797, 10.784, 10.781, 10.795, 10.798, 10.832, 10.766, 10.792, 10.767, 10.755, 10.742, 10.763, 10.76, 10.788, 10.767, 10.762, 10.776, 10.791, 10.76, 10.754, 10.771, 10.767, 10.784, 10.801, 10.776, 10.775, 10.783, 10.755, 10.784, 10.772, 10.782, 10.807, 10.814, 10.76, 10.779, 10.842, 10.82, 10.826, 10.79, 10.8, 10.812, 10.773, 10.778, 10.79, 10.791, 10.755, 10.794, 10.773, 10.808, 10.762, 10.8, 10.789, 10.766, 10.783, 10.784, 10.756, 10.755, 10.797, 10.822, 10.858, 10.77, 10.761, 10.755, 10.755, 10.745, 10.705, 10.646, 10.659, 10.568, 10.572, 10.585, 10.496, 10.562, 
9: 11.921, 11.898, 11.976, 11.984, 12.058, 12.072, 12.025, 12.073, 12.096, 12.152, 12.062, 12.08, 12.094, 12.127, 11.872, 12.061, 11.897, 12.05, 12.002, 12.01, 12.032, 12.092, 11.992, 12.005, 11.97, 12.027, 11.991, 12.044, 11.919, 11.994, 12.051, 12.059, 12.01, 11.981, 12.066, 11.994, 11.908, 11.975, 12.024, 11.969, 11.942, 11.938, 12.013, 11.931, 11.925, 11.987, 11.944, 11.951, 11.983, 11.925, 11.942, 11.988, 11.972, 11.996, 11.896, 11.931, 11.992, 12.017, 11.988, 11.952, 12.009, 12.021, 12.005, 11.974, 12.044, 12.031, 12.01, 12.071, 12.02, 11.993, 11.927, 11.943, 11.994, 11.971, 11.962, 11.984, 12.027, 11.982, 11.959, 11.964, 11.934, 11.951, 12.011, 11.932, 11.964, 11.987, 11.972, 11.927, 11.95, 12.019, 11.925, 11.896, 11.903, 11.951, 11.989, 11.942, 11.968, 12.009, 12.199, 12.049, 
10: 13.276, 13.856, 13.545, 13.244, 13.286, 13.235, 13.274, 13.376, 13.372, 13.233, 13.335, 13.228, 13.235, 13.347, 13.209, 13.324, 13.183, 13.297, 13.237, 13.202, 13.186, 13.308, 13.235, 13.266, 13.263, 13.376, 13.222, 13.341, 13.313, 13.227, 13.245, 13.239, 13.295, 13.171, 13.159, 13.108, 13.114, 13.148, 13.165, 13.166, 13.244, 13.137, 13.287, 13.135, 13.285, 13.186, 13.163, 13.132, 13.339, 13.152, 13.241, 13.162, 13.2, 13.246, 13.217, 13.152, 13.137, 13.174, 13.141, 13.14, 13.299, 13.296, 13.204, 13.148, 13.141, 13.331, 13.272, 13.93, 13.287, 13.185, 13.174, 13.202, 13.275, 13.202, 13.244, 13.229, 13.226, 13.214, 13.148, 13.188, 13.165, 13.14, 13.121, 12.939, 12.876, 12.78, 13.011, 13.047, 13.105, 13.161, 13.005, 13.145, 13.026, 13.107, 13.111, 13.181, 12.975, 13.187, 12.972, 13.165, 
11: 14.612, 14.737, 14.678, 14.675, 14.477, 14.498, 14.649, 14.631, 14.663, 14.676, 14.69, 14.677, 14.722, 14.604, 14.728, 14.734, 14.754, 14.383, 14.374, 14.321, 14.335, 14.434, 14.36, 14.314, 14.41, 14.536, 14.534, 14.635, 14.63, 14.714, 14.639, 14.556, 14.603, 14.532, 14.558, 14.618, 14.577, 14.691, 14.636, 14.625, 14.668, 14.743, 14.728, 14.655, 14.592, 14.549, 14.54, 14.607, 14.538, 14.486, 14.567, 14.669, 14.597, 14.554, 14.65, 14.59, 14.698, 14.957, 14.578, 14.478, 14.625, 14.706, 14.663, 14.652, 14.526, 14.562, 14.595, 14.623, 14.563, 14.601, 14.701, 14.623, 14.476, 14.525, 14.596, 14.591, 14.598, 14.749, 14.79, 14.499, 14.626, 14.633, 14.687, 14.696, 14.817, 14.585, 14.745, 14.563, 14.662, 14.648, 14.653, 14.625, 14.664, 14.66, 14.536, 14.654, 14.661, 14.588, 14.702, 14.559, 
