0: 
1: 
2: 39.753, 40.411, 39.631, 39.601, 39.615, 39.614, 39.566, 39.584, 39.608, 39.7, 39.541, 39.634, 41.242, 39.754, 39.77, 39.529, 39.529, 39.565, 39.64, 39.633, 39.635, 39.64, 39.505, 39.626, 39.679, 39.553, 39.565, 39.566, 39.554, 39.513, 39.495, 39.523, 39.63, 39.592, 39.627, 39.546, 39.53, 39.528, 39.518, 39.577, 39.53, 39.523, 39.528, 39.542, 39.529, 39.524, 39.53, 39.496, 39.501, 39.574, 39.588, 39.572, 39.489, 39.649, 39.653, 39.501, 39.595, 39.605, 39.625, 39.51, 39.61, 39.603, 39.667, 39.7, 39.661, 39.569, 39.52, 39.5, 39.543, 39.521, 39.534, 39.678, 39.693, 39.552, 39.545, 39.568, 39.512, 39.557, 39.557, 39.521, 39.657, 39.648, 39.606, 39.669, 39.497, 39.672, 39.5, 39.593, 39.604, 39.629, 39.519, 39.601, 39.498, 39.562, 39.596, 39.497, 39.64, 39.633, 39.582, 39.517, 
3: 55.019, 55.186, 54.984, 55.019, 54.963, 54.969, 55.134, 55.089, 55.129, 55.067, 55.108, 55.057, 55.065, 55.28, 55.17, 54.985, 55.016, 55.006, 54.978, 54.971, 54.982, 55.25, 54.956, 55.199, 54.951, 55.247, 55.209, 54.963, 54.973, 55.201, 54.942, 54.92, 55.128, 55.107, 54.936, 55.34, 55.198, 55.206, 55.1, 55.222, 55.117, 55.318, 55.028, 55.077, 55.224, 55.05, 55.146, 54.984, 54.993, 55.002, 55.071, 55.114, 55.027, 55.04, 55.093, 55.052, 54.942, 55.218, 55.24, 55.227, 55.135, 55.145, 55.144, 55.126, 55.156, 55.024, 55.06, 55.123, 55.016, 55.129, 55.062, 55.038, 55.038, 54.93, 55.097, 55.066, 55.041, 55.032, 54.961, 54.917, 54.914, 55.027, 54.982, 55.075, 55.074, 54.96, 54.915, 55.173, 55.081, 55.064, 55.038, 54.974, 54.974, 54.959, 55.054, 54.974, 55.073, 55.069, 55.058, 54.935, 
4: 71.669, 71.623, 71.618, 71.485, 71.616, 71.411, 71.56, 71.839, 71.559, 71.328, 71.343, 71.562, 71.445, 71.7, 71.731, 71.528, 71.448, 71.566, 71.407, 71.49, 71.59, 71.419, 71.626, 71.509, 71.675, 71.358, 71.662, 71.385, 71.495, 71.546, 71.452, 71.579, 71.535, 71.529, 71.573, 71.35, 71.551, 71.317, 71.577, 71.363, 71.368, 71.387, 71.485, 71.383, 71.379, 71.426, 71.635, 71.517, 71.395, 71.368, 71.566, 71.358, 71.554, 71.363, 71.632, 71.416, 71.644, 71.345, 71.347, 71.313, 71.448, 71.322, 71.287, 71.293, 71.462, 71.211, 71.453, 71.393, 71.533, 71.294, 71.444, 71.349, 71.303, 71.292, 71.315, 71.52, 71.549, 71.483, 71.549, 71.48, 71.295, 71.33, 71.408, 71.414, 71.414, 71.894, 71.425, 71.331, 71.495, 71.597, 71.607, 71.595, 71.526, 71.547, 71.644, 71.424, 71.413, 71.398, 71.276, 71.504, 
5: 87.283, 87.352, 87.112, 87.068, 87.163, 87.078, 87.345, 87.376, 87.403, 87.427, 86.93, 87.265, 86.928, 87.063, 86.938, 87.258, 87.259, 87.195, 87.104, 87.337, 87.3, 87.333, 87.247, 87.229, 87.019, 87.023, 87.392, 87, 87.072, 86.99, 87.295, 86.931, 87.239, 87.265, 87.198, 87.019, 87.135, 87.105, 87.141, 87.251, 87.186, 87.123, 87.081, 86.937, 87.191, 86.958, 87.365, 87.026, 87.119, 87.353, 87.285, 87.281, 87.227, 87.235, 87.32, 87.231, 87.209, 87.314, 87.227, 87.227, 87.259, 87.115, 87.202, 86.931, 86.846, 87.189, 87.297, 86.873, 87.09, 86.959, 86.862, 86.939, 87.595, 86.979, 87.191, 86.984, 87.343, 86.895, 87.218, 87.295, 86.992, 87.026, 87.119, 86.922, 87.125, 87.312, 87.053, 87.098, 86.998, 87.274, 87.171, 87.125, 86.994, 86.948, 86.966, 86.971, 87.201, 87.089, 87.203, 87.251, 
6: 103.872, 103.654, 103.605, 104.032, 104.151, 103.635, 103.652, 103.667, 103.776, 103.754, 103.877, 103.83, 103.917, 103.528, 103.451, 103.49, 103.943, 103.519, 103.538, 103.939, 103.69, 103.544, 103.444, 103.64, 103.817, 103.619, 103.807, 103.778, 103.866, 104.155, 103.873, 103.907, 103.715, 104.156, 103.965, 103.735, 103.678, 103.655, 104.045, 103.782, 103.998, 103.764, 103.773, 104.005, 103.875, 103.738, 103.782, 103.897, 104.008, 103.766, 103.685, 103.734, 103.725, 104.076, 103.517, 103.655, 103.707, 103.939, 103.842, 103.759, 104.035, 103.718, 103.611, 103.96, 103.467, 103.642, 104.169, 103.955, 103.874, 104.186, 103.687, 103.893, 103.792, 103.871, 103.867, 103.753, 103.827, 104.02, 103.634, 103.825, 103.791, 103.862, 104.055, 104.114, 103.862, 103.928, 103.715, 103.936, 103.937, 103.866, 104, 103.734, 104.003, 103.825, 103.994, 103.936, 104.096, 104.045, 103.993, 103.978, 
7: 120.019, 119.966, 119.961, 120.358, 119.598, 120.121, 119.931, 119.462, 119.698, 119.81, 119.449, 119.605, 119.515, 119.738, 119.533, 119.454, 120.116, 119.974, 119.887, 119.741, 119.566, 119.487, 119.446, 119.661, 119.372, 119.743, 119.855, 119.937, 119.101, 119.792, 120.331, 120.018, 120.063, 119.217, 119.742, 119.698, 120.151, 119.654, 120.151, 119.658, 119.892, 119.323, 120.473, 120.182, 120.185, 120.692, 119.794, 119.74, 120.069, 119.957, 119.852, 119.96, 119.517, 119.821, 119.92, 119.631, 119.351, 119.774, 119.449, 119.426, 119.66, 120.386, 119.311, 120.046, 119.95, 119.746, 119.805, 119.1, 120.174, 120.275, 119.85, 119.303, 119.643, 119.772, 119.562, 119.424, 120.113, 119.392, 119.365, 119.677, 119.458, 119.163, 119.558, 119.679, 119.519, 119.862, 119.775, 119.759, 119.659, 119.523, 119.441, 119.754, 119.463, 120.089, 119.856, 119.665, 119.924, 119.941, 119.4, 119.335, 
8: 137.07, 136.205, 137.356, 136.905, 136.908, 136.935, 136.975, 136.674, 136.863, 136.57, 136.594, 136.888, 136.876, 137.059, 136.913, 137.207, 137.05, 136.936, 137.136, 136.798, 137.121, 136.893, 136.909, 137.11, 137.095, 137.546, 137.514, 136.554, 136.818, 137.297, 136.545, 137.035, 136.929, 136.669, 136.821, 136.58, 136.846, 136.774, 136.868, 136.613, 136.751, 137.316, 136.95, 136.639, 136.643, 136.638, 136.923, 136.79, 136.669, 137.123, 136.333, 136.94, 136.831, 137.174, 136.804, 136.732, 136.945, 137.305, 136.81, 136.93, 137.123, 137.227, 137.035, 136.676, 136.96, 136.508, 136.677, 136.924, 136.573, 136.564, 136.912, 136.652, 136.912, 136.936, 136.703, 136.819, 136.923, 137.001, 136.881, 137.162, 137.071, 137.179, 137.251, 137.036, 136.828, 137.198, 136.818, 136.557, 136.622, 137.485, 136.632, 136.809, 136.928, 137.264, 137.128, 136.637, 136.887, 136.815, 136.706, 136.621, 
9: 154.155, 153.225, 153.542, 153.162, 153.418, 152.129, 152.734, 153.169, 152.391, 152.249, 153.6, 152.746, 151.876, 152.413, 153.355, 152.707, 152.717, 152.533, 152.1, 152.531, 153.236, 153.248, 153.062, 153.565, 152.579, 152.583, 152.449, 153.273, 153.074, 153.584, 153.358, 153.62, 152.608, 153.314, 153.495, 153.378, 152.503, 152.382, 153.616, 153.372, 153.287, 153.254, 153.39, 153.523, 153.296, 153.476, 153.882, 153.869, 153.36, 153.478, 153.281, 153.23, 153.381, 153.639, 153.849, 153.832, 153.642, 153.953, 153.973, 153.672, 153.072, 153.363, 153.296, 153.213, 153.686, 153.456, 153.26, 153.564, 153.319, 153.526, 153.469, 153.804, 153.236, 153.277, 153.556, 153.421, 153.069, 153.43, 154.049, 153.2, 153.397, 152.941, 153.065, 153.418, 153.79, 152.688, 152.448, 153.408, 153.885, 153.345, 153.889, 152.899, 153.375, 153.645, 153.437, 153.404, 153.88, 153.637, 153.706, 153.642, 
10: 171.035, 170.423, 170.708, 170.547, 171.265, 171.147, 170.558, 170.47, 170.546, 170.546, 170.893, 170.418, 170.578, 170.877, 170.335, 170.459, 170.707, 170.756, 170.354, 170.778, 170.499, 170.541, 170.586, 170.86, 170.7, 170.998, 171.074, 170.954, 170.825, 170.48, 170.626, 171.105, 170.427, 170.398, 170.208, 170.773, 170.632, 170.145, 170.199, 170.176, 170.85, 170.513, 171.026, 170.389, 170.597, 170.257, 170.137, 170.681, 170.238, 170.225, 170.369, 170.471, 170.748, 170.799, 170.718, 170.775, 170.029, 170.272, 170.365, 170.481, 170.405, 170.581, 170.715, 170.641, 171.126, 170.905, 170.804, 170.493, 170.342, 170.928, 170.672, 170.376, 170.81, 170.541, 170.538, 170.563, 170.713, 170.619, 170.95, 170.825, 170.819, 170.658, 170.486, 170.652, 170.397, 170.662, 170.728, 170.868, 170.811, 170.77, 170.306, 170.657, 170.447, 171.09, 170.273, 170.383, 170.238, 170.322, 170.63, 170.362, 
11: 187.514, 187.201, 187.029, 187.247, 186.539, 187.85, 187.138, 186.997, 186.95, 187.31, 187.126, 188.041, 188.163, 187.778, 187.104, 187.354, 187.959, 187.839, 187.387, 187.049, 187.487, 186.787, 187.725, 187.196, 187.001, 187.522, 187.45, 187.13, 187.484, 187.408, 187.585, 187.593, 187.706, 187.293, 188.153, 188.252, 187.75, 186.917, 186.789, 187.275, 187.017, 187.32, 187.469, 187.06, 187.584, 187.692, 187.338, 187.295, 187.828, 187.27, 187.696, 187.144, 186.956, 187.494, 187.177, 187.594, 187.487, 187.292, 186.909, 187.442, 186.934, 187.254, 187.281, 186.776, 187.474, 187.844, 187.235, 186.872, 187.342, 187.417, 187.07, 187.494, 186.685, 187.384, 186.617, 187.351, 187.187, 187.7, 187.187, 187.384, 186.809, 187.467, 187.479, 187.262, 187.419, 187.367, 187.729, 187.024, 187.193, 187.227, 186.852, 187.61, 187.425, 186.728, 186.8, 186.717, 187.043, 187.604, 187.338, 187.683, 
