0: 
1: 
2: 34.151, 33.95, 33.951, 33.91, 33.909, 33.948, 33.966, 33.881, 33.894, 33.871, 33.854, 33.89, 33.928, 34.359, 33.882, 33.896, 33.896, 33.844, 33.856, 33.845, 33.849, 33.875, 33.843, 33.841, 33.853, 33.865, 33.906, 33.87, 33.883, 33.881, 33.893, 33.887, 33.846, 33.829, 33.918, 33.916, 33.958, 33.953, 33.943, 34.04, 33.822, 33.83, 33.898, 33.85, 33.882, 33.912, 33.897, 33.914, 33.9, 33.895, 33.938, 33.911, 33.99, 33.973, 33.962, 34.06, 33.999, 33.897, 34.328, 34.167, 33.862, 33.962, 33.931, 33.936, 33.902, 33.902, 33.87, 33.888, 33.865, 33.831, 33.948, 33.945, 33.873, 33.882, 33.918, 33.901, 33.893, 33.93, 33.937, 34.022, 33.914, 34.002, 33.867, 33.87, 33.944, 33.897, 33.914, 33.865, 33.902, 33.861, 33.742, 33.763, 33.752, 33.76, 33.897, 33.954, 33.783, 33.792, 33.879, 33.922, 
3: 50.227, 49.595, 49.618, 49.633, 49.931, 49.935, 49.794, 49.857, 49.67, 49.677, 49.702, 49.563, 49.573, 49.596, 49.539, 49.544, 49.535, 49.563, 49.447, 49.441, 49.511, 49.446, 49.524, 49.63, 49.61, 49.608, 49.622, 49.359, 49.429, 49.405, 49.363, 49.584, 49.592, 49.347, 49.537, 49.558, 49.572, 49.745, 49.554, 49.586, 49.362, 49.537, 49.65, 49.356, 49.488, 49.452, 49.383, 49.37, 49.502, 49.419, 49.321, 49.597, 49.502, 49.556, 49.525, 49.493, 49.567, 49.588, 49.349, 49.456, 49.449, 49.394, 49.452, 49.465, 49.518, 49.422, 49.423, 49.434, 49.486, 49.443, 49.444, 49.506, 49.569, 49.521, 49.452, 49.549, 49.553, 49.573, 49.575, 49.582, 49.589, 49.335, 49.576, 49.883, 50.293, 49.594, 49.356, 49.572, 49.579, 49.617, 49.585, 49.515, 49.54, 49.412, 49.371, 49.506, 49.447, 49.366, 49.329, 49.479, 
4: 68.702, 68.496, 68.307, 68.395, 68.127, 68.138, 67.93, 67.899, 67.962, 67.982, 67.982, 67.781, 67.639, 67.613, 67.709, 67.5, 67.628, 67.814, 67.666, 67.596, 67.909, 67.667, 67.674, 67.705, 67.595, 67.563, 67.873, 67.735, 67.797, 67.841, 67.395, 67.442, 67.627, 67.845, 67.875, 67.841, 67.859, 67.782, 67.438, 67.558, 67.435, 67.794, 67.708, 67.583, 67.473, 67.446, 67.653, 67.581, 67.378, 67.4, 67.353, 67.404, 67.446, 67.37, 67.447, 67.381, 67.575, 67.64, 67.599, 67.571, 67.59, 67.509, 67.581, 67.597, 67.861, 67.528, 67.679, 67.315, 67.373, 67.686, 68.689, 67.821, 67.902, 67.772, 67.844, 67.857, 68.183, 67.631, 67.477, 67.785, 67.862, 67.351, 67.425, 67.447, 67.571, 67.639, 67.709, 67.624, 67.846, 67.69, 67.584, 67.387, 67.567, 67.641, 67.594, 67.618, 67.594, 67.669, 67.62, 67.635, 
5: 84, 84.062, 84.079, 84.072, 84.175, 84.416, 84.351, 84.492, 84.772, 84.204, 84.215, 84.279, 84.162, 83.65, 83.606, 83.369, 83.382, 83.445, 83.458, 83.473, 83.382, 83.152, 83.065, 83.144, 83.113, 83.35, 83.356, 83.75, 83.396, 83.752, 83.25, 83.157, 83.133, 83.13, 83.504, 83.466, 83.648, 83.756, 83.642, 83.345, 83.188, 84.1, 83.683, 83.509, 83.292, 83.562, 83.319, 83.108, 83.314, 83.327, 83.536, 83.598, 83.261, 83.095, 82.995, 83.322, 83.063, 83.036, 83.337, 83.437, 83.331, 83.044, 83.486, 83.673, 83.582, 83.207, 83.117, 83.522, 83.208, 83.236, 83.21, 83.188, 83.529, 83.437, 83.419, 83.18, 83.221, 83.557, 83.303, 83.387, 83.249, 83.053, 83.544, 83.282, 83.428, 83.387, 83.358, 83.416, 83.452, 83.398, 83.202, 83.076, 83.526, 83.59, 83.597, 83.244, 83.366, 83.299, 83.361, 83.448, 
6: 103.103, 102.724, 102.951, 103.059, 102.597, 102.705, 103.7, 102.938, 103.051, 102.918, 103.005, 102.99, 103.252, 103.411, 103.243, 102.651, 102.903, 102.63, 102.626, 102.266, 102.155, 102.372, 102.306, 102.135, 102.094, 102.449, 102.362, 102.204, 102.159, 101.96, 101.815, 102.104, 102.511, 101.888, 102.062, 102.289, 102.13, 101.731, 101.654, 102.12, 102.119, 102.047, 102.195, 101.938, 101.846, 102.268, 102.869, 102.832, 102.364, 102.874, 102.174, 101.996, 102.069, 102.023, 102.118, 102.17, 102.413, 101.983, 101.882, 101.936, 101.977, 103.129, 102.212, 102.037, 102.33, 102.386, 102.362, 102.287, 102.335, 102.443, 102.452, 102.271, 102.238, 102.276, 102.581, 101.985, 102.632, 102.064, 101.92, 102.131, 102.123, 101.943, 102.066, 102.157, 101.894, 102.413, 102.371, 102.098, 102.032, 102.219, 102.054, 102.487, 102.33, 102.245, 102.152, 102.022, 102.036, 102.147, 102.001, 101.831, 
7: 117.657, 118.998, 118.956, 118.546, 118.858, 118.498, 119.047, 118.313, 118.749, 118.666, 118.698, 118.501, 119.171, 118.904, 119.186, 119.183, 118.565, 118.879, 119.6, 119.112, 118.389, 118.393, 118.391, 118.123, 117.919, 118.206, 118.719, 117.886, 120.777, 118.875, 124.067, 128.132, 118.808, 118.541, 118.645, 118.877, 119.097, 118.644, 118.458, 118.485, 118.644, 118.173, 118.415, 118.328, 118.812, 118.13, 118.802, 117.981, 118.033, 118.454, 117.439, 118.686, 117.668, 118.149, 118.371, 118.493, 118.15, 118.633, 117.744, 117.494, 119.3, 118.274, 117.512, 118.294, 118.533, 118.81, 118.22, 118.801, 118.695, 118.503, 117.576, 118.382, 118.638, 118.687, 118.289, 118.167, 118.574, 118.595, 118.568, 118.329, 118.54, 118.416, 118.324, 117.659, 118.539, 117.579, 118.118, 117.681, 118.077, 118.179, 117.989, 118, 118.454, 118.099, 118.199, 118.215, 117.853, 118.361, 118.581, 118.285, 
8: 137.393, 137.876, 137.176, 137.336, 137.908, 138.58, 138.212, 138.204, 137.981, 137.905, 137.929, 137.768, 138.126, 137.74, 137.889, 138.033, 138.178, 138.531, 137.469, 138.06, 137.71, 137.29, 137.585, 137.449, 137.317, 137.668, 137.655, 137.463, 137.698, 137.965, 137.998, 138.385, 137.727, 137.778, 137.312, 137.527, 137.901, 138.19, 136.957, 137.33, 137.611, 137.831, 137.561, 138.354, 137.947, 137.161, 138.607, 137.496, 137.964, 137.817, 137.858, 137.078, 138.051, 137.787, 137.633, 137.763, 137.279, 137.821, 137.579, 138.109, 137.86, 137.97, 137.847, 137.555, 138.373, 138.049, 137.799, 137.029, 137.907, 138.048, 137.903, 138.078, 137.732, 137.868, 138.086, 137.774, 137.584, 137.466, 137.44, 138.015, 137.377, 137.495, 137.509, 138.012, 137.836, 137.789, 138.009, 138.897, 137.158, 137.711, 137.55, 137.59, 137.641, 137.819, 137.725, 137.888, 137.645, 138.106, 137.134, 137.267, 
9: 154.609, 154.416, 153.654, 154.012, 153.803, 154.622, 154.026, 154.366, 154.101, 154.044, 154.311, 154.388, 154.65, 154.091, 153.879, 154.409, 153.923, 154.222, 154.598, 154.216, 154.288, 154.215, 154.526, 154.326, 154.706, 153.831, 154.342, 154.126, 153.753, 154.362, 154.439, 154.439, 153.805, 154.298, 154.264, 154.249, 153.508, 154.126, 154.057, 154.26, 154.65, 154.388, 153.964, 153.702, 153.992, 155.114, 154.789, 154.297, 154.127, 154.031, 154.972, 153.48, 153.858, 154.001, 154.303, 154.184, 154.158, 154.177, 154.083, 154.352, 155.149, 154.732, 154.663, 154.08, 154.17, 154.822, 154.272, 154.57, 153.6, 154.028, 154.121, 154.226, 152.833, 154.392, 154.469, 154.24, 153.84, 153.685, 154.014, 154.47, 154.134, 154.214, 153.62, 153.847, 153.897, 153.818, 154.023, 154.638, 154.162, 154.189, 154.299, 153.723, 154.362, 154.62, 154.448, 154.576, 154.341, 155.092, 154.045, 154.755, 
10: 173.024, 173.331, 173.434, 173.018, 173.66, 172.873, 173.468, 172.838, 172.707, 173.146, 173.282, 173.349, 172.91, 173.208, 173.666, 173.185, 173.017, 173.157, 173.574, 173.646, 172.908, 173.766, 173.098, 172.926, 172.795, 173.11, 173.069, 173.085, 173.584, 173.166, 172.896, 173.433, 173.084, 173.819, 173.23, 172.486, 173.498, 173.138, 172.38, 173.854, 173.061, 173.386, 173.5, 173.337, 173.391, 173.292, 173.353, 173.407, 173.067, 172.978, 173.628, 172.924, 173.348, 172.997, 172.854, 173.243, 173.109, 173.252, 172.67, 172.989, 173.267, 174.051, 172.985, 173.31, 172.918, 173.72, 173.413, 173.231, 173.576, 173.117, 172.905, 173.231, 173.443, 173.336, 173.603, 173.515, 173.445, 172.684, 172.586, 173.157, 173.101, 172.837, 173.167, 172.949, 173.18, 173.019, 173.019, 173.239, 172.786, 172.796, 172.965, 173.042, 173.394, 173.302, 174.209, 173.564, 173.223, 172.808, 173.388, 173.083, 
11: 190.261, 190.268, 189.77, 189.478, 189.666, 189.888, 189.67, 189.717, 190.112, 189.76, 189.459, 189.749, 189.966, 190.3, 190.225, 190.583, 191.261, 190.391, 191.054, 190.411, 190.365, 189.975, 190.781, 190.706, 189.986, 189.699, 189.896, 189.361, 189.512, 189.51, 189.807, 189.821, 189.524, 189.539, 189.731, 190.04, 190.156, 189.971, 190.075, 189.924, 189.948, 189.864, 189.823, 190.117, 190.495, 190.029, 189.578, 189.893, 189.774, 189.45, 190.493, 190.851, 191.552, 190.469, 190.512, 190.473, 190.842, 190.736, 190.191, 190.464, 190.491, 189.583, 190.651, 190.98, 190.579, 190.058, 190.774, 190.446, 190.354, 190.076, 189.811, 189.953, 190.356, 190.591, 190.403, 190.646, 190.117, 190.52, 190.638, 190.634, 189.483, 190.204, 191.066, 190.177, 190.482, 190.212, 190.587, 189.891, 189.433, 190.82, 190.636, 189.513, 189.61, 189.731, 189.572, 189.769, 190.145, 190.626, 189.316, 190.723, 
